Shapefile_Key	CRS
amazon_manacapuru	ESRI:54012
amazon_santoantonio	ESRI:54012
amazon_vergemgrande	ESRI:54012
atalaya_aval	ESRI:54012
borja	ESRI:54012
caracarai	ESRI:54012
cuidad_bolivar	ESRI:54012
franscisco	ESRI:54012
itaituba	ESRI:54012
itapeua	ESRI:54012
langa_tabiki	ESRI:54012
manacapuru	ESRI:54012
nazareth	ESRI:54012
porto_velho	ESRI:54012
rio_ica	ESRI:54012
rio_japura	ESRI:54012
rio_jurua	ESRI:54012
rio_jutai	ESRI:54012
rio_madeira	ESRI:54012
rio_negro	ESRI:54012
rio_purus	ESRI:54012
rurrenabaque	ESRI:54012
saut_maripa	ESRI:54012
congo_brazzaville	ESRI:54012
niger_bamako	ESRI:54012
elberiver	ESRI:54012
awout_messam	ESRI:54012
nyong_ayos	ESRI:54012
nyong_mbalmayo	ESRI:54012
nyong_olama	ESRI:54012
soo_pontsoo	ESRI:54012
vilajoen_vesistoalue	EPSG:3067
