attributeName,attributeDefinition,measurementScale,domain,missingValueCode,missingValueCodeExplanation,formatString,unit,numberType,definition,metadata_pid
LTER_site,LTER site name,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
samp_loc,sample location,nominal,enumeratedDomain,trace,trace value,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
year,year (yyyy),dateTime,dateTimeDomain,trace,trace value,YYYY,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
date,date (yyyy-mm-dd),dateTime,dateTimeDomain,trace,trace value,YYYY-MM-DD,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
time,time collected (hhmm(MST)); DNS-data not submitted,dateTime,dateTimeDomain,trace,trace value,HHMM,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
pH,ph; NP-not performed,ratio,numericDomain,trace,trace value,NA,dimensionless,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
cond,"conductance, performed @ 25 deg C; NP-not performed",ratio,numericDomain,trace,trace value,NA,microsiemenPerCentimeter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
ANC,acid neutralizing capacity; NP-not performed,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
acid,acidity,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
alkal,alkalinity; NP-not performed,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
H+,H+ concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
NH4+,NH4+ concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
Ca++,Ca++ concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
Mg++,Mg++ concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
Na+,Na+ concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
K+,K+ concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
Cl-,Cl- concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
NO3-,NO3- concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
SO4--,SO4-- concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
PO4---,PO4--- concentration,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
Si,Si concentration,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
cat_sum,cation sum,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
an_sum,anion sum,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
chg_bal,charge balance,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
TN,total nitrogen,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
TDN,Total dissolved N,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
PN,particulate N,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
DON,dissolved organic N,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
IN,inorganic N,ratio,numericDomain,trace,trace value,NA,microequivalentPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
TP,total phosphorus,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
TDP,Total Dissolved P,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
PP,particulate P,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
DOP,dissolved organic P,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
IP,inorganic P,ratio,numericDomain,trace,trace value,NA,micromolePerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
d18O,delta 18O,ratio,numericDomain,trace,trace value,NA,partPerThousand,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
d18O_sdev,standard deviation delta 18O,ratio,numericDomain,trace,trace value,NA,partPerThousand,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
dDeut,delta Deuterium,ratio,numericDomain,trace,trace value,NA,partPerThousand,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
dD_sdev,standard deviation delta Deuterium,ratio,numericDomain,trace,trace value,NA,partPerThousand,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
D_excess,Deuterium excess,ratio,numericDomain,trace,trace value,NA,partPerThousand,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
Trit,Tritium,ratio,numericDomain,trace,trace value,NA,TritiumUnit,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
T_sdev,standard deviation tritium,ratio,numericDomain,trace,trace value,NA,TritiumUnit,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
TOC,total organic carbon,ratio,numericDomain,trace,trace value,NA,milligramPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
DOC,dissolved organic carbon,ratio,numericDomain,trace,trace value,NA,milligramPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
POC,particulate organic carbon,ratio,numericDomain,trace,trace value,NA,milligramPerLiter,real,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
comments,comments,nominal,textDomain,NA,NA,NA,NA,NA,comments on sample testing,https://pasta.lternet.edu/package/metadata/eml/knb-lter-nwt/107/10
